title,whole_day,arrival_or_departure,accommodation
"Korea, Demokratische Volksrepublik",28,19,92
"Korea, Republik",48,32,108
Kosovo,24,16,71
Kroatien,35,24,107
Kuba,51,34,170
Kuwait,56,37,241
Laos,35,24,71
Lesotho,28,19,104
Lettland,35,24,76
Libanon,69,46,146
Libyen,63,42,135
Liechtenstein,56,37,190
Litauen,26,17,109
Luxemburg,63,42,139
Madagaskar,33,22,116
Malawi,41,28,109
Malaysia,36,24,86
Malediven,52,35,170
Mali,38,25,120
Malta,46,31,114
Marokko,41,28,87
Marshall Inseln,63,42,102
Mauretanien,35,24,86
Mauritius,44,29,172
Mexiko,48,32,177
"Moldau, Republik",26,17,73
Monaco,52,35,187
Mongolei,23,16,92
Montenegro,32,21,85
Mosambik,51,34,208
Myanmar,35,24,155
Namibia,30,20,112
Nepal,36,24,126
Neuseeland,58,39,148
Nicaragua,46,31,105
Niederlande,47,32,122
Niger,42,28,131
Nigeria,46,31,182
Nordmazedonien,27,18,89
Norwegen,75,50,139
Österreich,50,33,117
Oman,64,43,141
Pakistan: Islamabad,23,16,238
Pakistan,34,23,122
Palau,51,34,179
Panama,41,28,82
Papua-Neuguinea,59,40,159
Paraguay,39,26,124
Peru,34,23,143
Philippinen,41,28,140
Polen: Breslau,33,22,117
Polen: Danzig,30,20,84
Polen: Krakau,27,18,86
Polen: Warschau,29,20,109
Polen,29,20,60
Portugal,32,21,111
Ruanda,44,29,117
Rumänien: Bukarest,32,21,92
Rumänien,27,18,89
Russische Föderation: Jekaterinburg,28,19,84
Russische Föderation: Moskau,30,20,110
Russische Föderation: St. Petersburg,26,17,114
Russische Föderation,24,16,58
Sambia,38,25,105
Samoa,39,26,105
San Marino,34,23,79
São Tomé – Príncipe,47,32,80
Saudi-Arabien: Djidda,57,38,181
Saudi-Arabien: Riad,56,37,186
Saudi-Arabien,56,37,181
Schweden,66,44,140
Schweiz: Genf,66,44,186
Schweiz,64,43,180
Senegal,42,28,190
Serbien,27,18,97
Sierra Leone,57,38,145
Simbabwe,45,30,140
Singapur,54,36,197
Slowakische Republik,33,22,121
Slowenien,38,25,126
Spanien: Barcelona,34,23,144
Spanien: Kanarische Inseln,36,24,103
Spanien: Madrid,42,28,131
Spanien: Palma de Mallorca,44,29,142
Spanien,34,23,103
Sri Lanka,36,24,112
Sudan,33,22,195
Südafrika: Kapstadt,33,22,130
Südafrika: Johannesburg,36,24,129
Südafrika,29,20,109
Südsudan,51,34,159
Syrien,38,25,140
Tadschikistan,27,18,118
Taiwan,46,31,143
Tansania,44,29,97
Thailand,38,25,110
Togo,39,26,118
Tonga,39,26,94
Trinidad und Tobago,66,44,203
Tschad,42,28,155
Tschechische Republik,32,21,77
Türkei: Istanbul,26,17,120
Türkei: Izmir,29,20,55
Türkei,17,12,95
Tunesien,40,27,144
Turkmenistan,33,22,108
Uganda,41,28,143
Ukraine,26,17,98
Ungarn,32,21,85
Uruguay,48,32,90
Usbekistan,34,23,104
Vatikanstaat,48,32,150
Venezuela,45,30,127
Vereinigte Arabische Emirate,65,44,156
Vereinigte Staaten von Amerika: Atlanta,77,52,182
Vereinigte Staaten von Amerika: Boston,63,42,333
Vereinigte Staaten von Amerika: Chicago,65,44,233
Vereinigte Staaten von Amerika: Houston,62,41,204
Vereinigte Staaten von Amerika: Los Angeles,64,43,262
Vereinigte Staaten von Amerika: Miami,65,44,256
Vereinigte Staaten von Amerika: New York City,66,44,308
Vereinigte Staaten von Amerika: San Francisco,59,40,327
"Vereinigte Staaten von Amerika: Washington, D. C.",66,44,203
Vereinigte Staaten von Amerika,59,40,182
Vereinigtes Königreich von Großbritannien und Nordirland: London,66,44,163
Vereinigtes Königreich von Großbritannien und Nordirland,52,35,99
Vietnam,41,28,86
Weißrussland,20,13,98
Zentralafrikanische Republik,53,36,210
Zypern,42,28,125
